0,1,2,3,4,5,6,7,8,9,10,11,12,label
-296.987,117.36892,32.60576,51.658268,10.984033,-3.1904974,-22.242382,-12.258308,2.0043585,-6.546659,-0.43028882,6.7717047,-18.251013,arabic
-297.86694,88.59621,-1.848991,17.621428,-14.363611,1.9244789,-20.42265,1.7630001,-10.11786,-4.448124,-2.4202201,0.74809474,-8.597544,arabic
-309.03058,78.86047,-4.7896748,2.9637012,-15.625919,-14.745649,-13.42078,-0.28687546,-0.39046326,-1.4559858,-8.225236,-3.8825142,-1.0186615,arabic
-315.1908,71.10857,-1.478914,31.724037,-24.455982,-3.8604262,-5.0776944,2.2232885,-15.326446,1.0878435,-9.246783,-1.3730961,0.82528925,arabic
-412.32816,83.63993,29.510202,38.413452,-2.5669994,-25.44372,-25.33448,-12.143138,-12.230121,-15.098557,-1.4036468,-4.843079,-12.052736,arabic
-339.0789,90.14643,5.402235,40.013557,7.291154,-8.614391,-9.982949,-17.880026,-19.748983,-6.1290736,-1.9620022,2.0355968,-15.716443,arabic
-330.35907,113.36809,30.456762,44.189716,9.654573,2.2999237,2.7810283,0.53516996,-1.5330163,-5.018924,2.9817183,-1.4665096,-3.955486,arabic
-309.6985,69.749084,-0.4641156,23.373116,-13.99494,-22.737337,-46.875813,-14.299956,-26.042406,-13.212415,-3.69335,-6.9610467,-11.850292,arabic
-369.49118,92.54684,8.415002,26.556108,-17.039286,-27.854048,-23.859774,-16.226149,-14.152483,-7.899182,-12.206233,-4.4070783,-4.5831447,arabic
-359.21222,79.19361,15.996909,19.190561,-0.3844756,-14.197232,-18.22939,-5.6950088,-17.006819,-13.349438,-6.731159,-7.9094853,-8.695868,arabic
-373.34207,51.61769,-1.5078244,18.450562,-15.132275,-24.427765,-25.398895,-11.650084,-16.25734,-14.259834,-8.024109,-10.588192,-12.893678,arabic
-306.64294,73.26197,-3.1753929,21.206215,-17.315826,-24.75425,-38.283337,-13.679581,-13.895502,-7.047087,4.3455706,-15.065716,-11.257306,arabic
-327.2231,104.11657,-4.2406583,34.531128,-5.9666057,-14.504808,-34.19403,-11.746481,-10.410433,-23.975174,5.2407527,-8.502804,-12.991006,arabic
-355.75314,82.0242,22.6138,23.669884,6.0673785,-9.692191,-17.547998,-13.69628,-15.94223,-7.541901,-7.471505,-0.13219865,-6.4776845,arabic
-302.39816,88.293655,-16.603582,28.335938,0.41673902,-9.547072,-19.76671,-21.866243,-11.819521,-16.720312,-16.361153,0.0083715655,-15.424455,arabic
-318.25827,73.52836,-11.893324,29.269205,-28.434683,-22.619396,-19.528934,-15.339422,-11.130404,-16.377008,-10.025916,-5.0257306,-8.288421,arabic
-279.75662,105.78722,-8.736943,12.823602,-3.208936,-10.344567,-11.46454,-5.763581,-5.220749,6.6576605,-13.415941,3.5410516,-7.1875486,arabic
-270.02863,121.16084,16.919828,51.076237,5.920658,-3.5396178,-8.313678,-2.0300565,-5.0798607,1.6513407,-2.6157074,-9.746097,-1.084838,arabic
-327.32562,93.60546,-10.225202,27.0432,8.749878,-4.5321527,-6.362112,-14.0373745,-17.457268,-13.230332,-18.797789,2.3028302,-11.677871,arabic
-281.07068,94.62815,-12.596646,33.06999,1.7135688,-9.548325,-17.689476,-10.802426,-9.734093,-2.6781332,-6.201492,-5.362481,-5.662398,arabic
-355.19385,89.96597,2.2411156,29.229015,-1.1937956,-5.285687,-11.720471,-13.160469,-16.681955,-13.742409,-2.2617953,-10.962432,-5.9876018,arabic
-250.07677,83.92803,0.6480814,30.696188,-0.6814056,-9.991828,-1.9331552,0.61409503,-10.210733,3.0077946,-7.6928225,2.165272,-0.66168916,arabic
-240.96478,95.67694,-2.9168122,24.435371,-10.441097,-10.573533,-21.14877,-7.208019,-11.989139,-10.960296,-2.669326,-6.2681537,-6.116407,arabic
-222.59892,94.05628,-4.281504,13.750325,-13.606011,-13.828429,-15.67074,-9.394785,-19.472574,-1.4025276,-7.186875,-6.3020067,-0.9573946,arabic
-241.75415,108.015144,3.390764,21.653652,0.9824891,-12.19032,-18.72199,-0.11474927,-13.016679,-4.749036,-4.4427156,-1.0402746,-7.4024224,arabic
-256.84128,111.059875,6.127712,25.903753,3.2348044,-4.04777,-21.658112,2.315432,-7.741617,-1.3477714,-6.9523263,2.1176832,-13.5479355,arabic
-247.51294,113.450035,-2.3485074,20.133396,-7.857627,-10.498286,-11.736228,-4.281368,-12.830429,-4.700407,-9.344089,-0.60755455,-5.7446322,arabic
-218.88638,113.852936,3.372942,18.577576,-7.595091,-14.3386,-14.531601,-10.884103,-10.796025,-3.0397942,-8.283318,-1.8776523,-3.16154,arabic
